keys;en;no
KEY_PLAY;START;START
KEY_QUIT;QUIT;AVSLUTT
KEY_TITLE;Spin To KILL;Spin To KILL
KEY_OPTIONS;OPTIONS;INNSTILLINGER
KEY_CREDITS;CREDITS;KREDITER
KEY_RESUME;RESUME;FORTSETT
KEY_BACK;BACK;TILBAKE
KEY_COINS;COINS;MYNTER
KEY_SOUND_SLIDER_MAIN;Master:;Master:
KEY_SOUND_SLIDER_MUSIC;Music:;Musikk:
KEY_SOUND_SLIDER_SFX;SFX:;SFX:
KEY_OPTIONS_FULLSCREEN;Fullscreen;Fullskjem
KEY_EXIT;Exit;Exit
KEY_ITEMCARD_BUY;BUY;KJØP
KEY_ITEMCARD_MAX;MAXED;MAXED
KEY_ITEMCARD_BOUGHT;BOUGHT;KJØPT
KEY_ITEMCARD_GOLD_SHORT;g;g
